Cistrome_id,Species,External_id,External_id_type,Factor,Ontology,FastQC,MappedRatio,PBC,PeaksFoldChangeAbove10,FRiP,PeaksUnionDHSRatio,FastQC_flag,MappedRatio_flag,PBC_flag,FRiP_flag,DHSRatio_flag,sum_four_scores,ENCODE_accession,SRA_ENCODE,ENCODE_status
149763,homo_sapiens,GSM5213919,GEO,ZNF12,Hep-G2,35.0,0.0,0.993,3264.0,0.0794284376364657,0.8406,1,0,1,1,1,4,ENCFF787PAK,SRR14103143,released
149781,homo_sapiens,GSM5213944,GEO,FOXJ3,Hep-G2,34.0,0.0,0.989,1429.0,0.0651744977031947,0.9614,1,0,1,1,1,4,ENCFF305GXO,SRR14103176,released
149790,homo_sapiens,GSM5213917,GEO,ZBED4,Hep-G2,34.0,0.0,0.991,400.0,0.0349715640011847,0.9478,1,0,1,1,1,4,ENCFF294ARZ,SRR14103128,released
149795,homo_sapiens,GSM5213882,GEO,Creb1,GM23338,39.0,0.0,0.972,5273.0,0.0690011079450598,0.9326,1,0,1,1,1,4,ENCFF059GRX,SRR14103066,released
149809,homo_sapiens,GSM5213877,GEO,ZNF10,Hep-G2,36.0,0.0,0.984,221.0,0.0166724461613154,0.7814,1,0,1,1,1,4,ENCFF781VEU,SRR14103059,released
149819,homo_sapiens,GSM5213824,GEO,HOXA7,A549,40.0,0.0,0.987,452.0,0.0252726530259027,0.7614,1,0,1,1,1,4,ENCFF096KTP,SRR14102951,released
149822,homo_sapiens,GSM5213922,GEO,GTF3A,Hep-G2,36.0,0.0,0.985,231.0,0.0230054228122312,0.8912,1,0,1,1,1,4,ENCFF561DXF,SRR14103146,released
149827,homo_sapiens,GSM5213844,GEO,Smad3,Hep-G2,34.0,0.0,0.993,813.0,0.0544141939155508,0.9564,1,0,1,1,1,4,ENCFF455NES,SRR14102995,released
149838,homo_sapiens,GSM5213945,GEO,FOXJ3,Hep-G2,35.0,0.0,0.994,335.0,0.0246118719408364,0.9308,1,0,1,1,1,4,ENCFF225AOR,SRR14103177,released
149841,homo_sapiens,GSM5213843,GEO,Smad3,Hep-G2,34.0,0.0,0.991,1259.0,0.0661425902669575,0.959,1,0,1,1,1,4,ENCFF062XDG,SRR14102994,released
149846,homo_sapiens,GSM5213883,GEO,Creb1,GM23338,40.0,0.0,0.985,4778.0,0.0592945478922837,0.9298,1,0,1,1,1,4,ENCFF723XAZ,SRR14103067,released
149851,homo_sapiens,GSM5213967,GEO,ZNF20,Hep-G2,36.0,0.0,0.963,415.0,0.0227359060314513,0.9038,1,0,1,1,1,4,ENCFF882BRW,SRR14103209,released
149856,homo_sapiens,GSM5213916,GEO,ZBED4,Hep-G2,34.0,0.0,0.995,1654.0,0.0626893685078186,0.951,1,0,1,1,1,4,ENCFF040FPT,SRR14103127,released
149865,homo_sapiens,GSM5213876,GEO,ZNF10,Hep-G2,36.0,0.0,0.98,175.0,0.0104945261985564,0.6651785714285714,1,0,1,1,0,3,ENCFF386ROJ,SRR14103058,released
149877,homo_sapiens,GSM5213923,GEO,GTF3A,Hep-G2,36.0,0.0,0.985,200.0,0.0160664552578199,0.8906,1,0,1,1,1,4,ENCFF528NGV,SRR14103147,released
149880,homo_sapiens,GSM5213825,GEO,HOXA7,A549,40.0,0.0,0.986,438.0,0.0200830446991116,0.7602,1,0,1,1,1,4,ENCFF926XRJ,SRR14102953,released
146731,homo_sapiens,GSM5331228,GEO,CSDC2,SK-N-SH,40.0,0.0,0.974,442.0,0.0337894393309749,0.8842,1,0,1,1,1,4,ENCFF749ILR,SRR14638805,released
146601,homo_sapiens,GSM5331398,GEO,PATZ1,SK-N-SH,39.0,0.0,0.971,309.0,0.0234119912062694,0.8644,1,0,1,1,1,4,ENCFF918ZSW,SRR14638105,released
146999,homo_sapiens,GSM5331032,GEO,IKZF4,HepG2,36.0,0.0,0.988,339.0,0.0241995770680625,0.9004,1,0,1,1,1,4,ENCFF963RRE,SRR14638296,released
146886,homo_sapiens,GSM5331305,GEO,Glis3,SK-N-SH,40.0,0.0,0.982,383.0,0.0165235182007772,0.8458,1,0,1,1,1,4,ENCFF999BTS,SRR14637865,released
